 Time (GMT), Time (LCT at India Standard Time),Reservoir Level (m msl),Reservoir Capacity  (mcm),Reservoir Area(KM2),Spillway DISCHARGE (M3/S)
46:07.0, 24-Oct-2022 15:16:07.000,436.8999939,695.2000122,23.70000076,0
50:00.0, 24-Oct-2022 15:20:00.000,436.9119873,695.3439941,23.70000076,0
00:00.0, 24-Oct-2022 15:30:00.000,436.9179993,695.632019,23.70000076,0
10:00.0, 24-Oct-2022 15:40:00.000,436.9179993,695.632019,23.70000076,0
20:00.0, 24-Oct-2022 15:50:00.000,436.9179993,695.632019,23.70000076,0
30:00.0, 24-Oct-2022 16:00:00.000,436.9249878,696.0880127,23.70999908,0
40:00.0, 24-Oct-2022 16:10:00.000,436.9500122,696.0880127,23.70999908,0
50:00.0, 24-Oct-2022 16:20:00.000,436.9429932,696.4000244,23.71999931,0
00:00.0, 24-Oct-2022 16:30:00.000,436.9500122,696.4000244,23.71999931,0
10:00.0, 24-Oct-2022 16:40:00.000,436.9559937,696.5440063,23.71999931,0
20:00.0, 24-Oct-2022 16:50:00.000,436.9620056,696.5440063,23.71999931,0
30:00.0, 24-Oct-2022 17:00:00.000,436.9679871,696.8319702,23.72999954,0
40:00.0, 24-Oct-2022 17:10:00.000,436.9750061,696.8319702,23.72999954,0
50:00.0, 24-Oct-2022 17:20:00.000,436.9809875,697.1439819,23.73999977,0
00:00.0, 24-Oct-2022 17:30:00.000,436.9809875,697.1439819,23.73999977,0
10:00.0, 24-Oct-2022 17:40:00.000,436.9809875,697.1439819,23.73999977,0
20:00.0, 24-Oct-2022 17:50:00.000,436.9930115,697.4320068,23.73999977,0
30:00.0, 24-Oct-2022 18:00:00.000,436.9869995,697.5999756,23.75,0
40:00.0, 24-Oct-2022 18:10:00.000,437,697.5999756,23.75,0
50:00.0, 24-Oct-2022 18:20:00.000,437.0020142,697.6240234,23.75,0
00:00.0, 24-Oct-2022 18:30:00.000,437.006012,697.7440186,23.75,0
10:00.0, 24-Oct-2022 18:40:00.000,437.0119934,697.8880005,23.75,0
20:00.0, 24-Oct-2022 18:50:00.000,437.0169983,697.9840088,23.75,0
30:00.0, 24-Oct-2022 19:00:00.000,437.019989,698.0800171,23.76000023,0
40:00.0, 24-Oct-2022 19:10:00.000,437.0249939,698.2000122,23.76000023,0
50:00.0, 24-Oct-2022 19:20:00.000,437.0299988,698.3200073,23.76000023,0
00:00.0, 24-Oct-2022 19:30:00.000,437.0339966,698.4160156,23.76000023,0
10:00.0, 24-Oct-2022 19:40:00.000,437.0390015,698.5360107,23.76000023,0
20:00.0, 24-Oct-2022 19:50:00.000,437.0440063,698.6560059,23.77000046,0
30:00.0, 24-Oct-2022 20:00:00.000,437.0490112,698.776001,23.77000046,0
40:00.0, 24-Oct-2022 20:10:00.000,437.0539856,698.8959961,23.77000046,0
50:00.0, 24-Oct-2022 20:20:00.000,437.0599976,699.0159912,23.77000046,0
00:00.0, 24-Oct-2022 20:30:00.000,437.0639954,699.1359863,23.78000069,0
10:00.0, 24-Oct-2022 20:40:00.000,437.0690002,699.2559814,23.78000069,0
20:00.0, 24-Oct-2022 20:50:00.000,437.072998,699.3519897,23.78000069,0
30:00.0, 24-Oct-2022 21:00:00.000,437.0780029,699.4719849,23.78000069,0
40:00.0, 24-Oct-2022 21:10:00.000,437.0830078,699.59198,23.79000092,0
50:00.0, 24-Oct-2022 21:20:00.000,437.0880127,699.6879883,23.79000092,0
00:00.0, 24-Oct-2022 21:30:00.000,437.0939941,699.8319702,23.79000092,0
10:00.0, 24-Oct-2022 21:40:00.000,437.0979919,699.9279785,23.79000092,0
20:00.0, 24-Oct-2022 21:50:00.000,437.1029968,700.0499878,23.79999924,0
30:00.0, 24-Oct-2022 22:00:00.000,437.1080017,700.2000122,23.79999924,0
40:00.0, 24-Oct-2022 22:10:00.000,437.1130066,700.3250122,23.79999924,0
50:00.0, 24-Oct-2022 22:20:00.000,437.118988,700.4500122,23.79999924,0
00:00.0, 24-Oct-2022 22:30:00.000,437.1239929,700.5999756,23.80999947,0
10:00.0, 24-Oct-2022 22:40:00.000,437.1300049,700.75,23.80999947,0
20:00.0, 24-Oct-2022 22:50:00.000,437.1329956,700.7999878,23.80999947,0
30:00.0, 24-Oct-2022 23:00:00.000,437.1359863,700.875,23.80999947,0
40:00.0, 24-Oct-2022 23:10:00.000,437.1419983,701.0250244,23.81999969,0
50:00.0, 24-Oct-2022 23:20:00.000,437.1459961,701.125,23.81999969,0
00:00.0, 24-Oct-2022 23:30:00.000,437.1520081,701.2750244,23.81999969,0
10:00.0, 24-Oct-2022 23:40:00.000,437.1589966,701.4749756,23.81999969,0
20:00.0, 24-Oct-2022 23:50:00.000,437.1659851,701.625,23.82999992,0
30:00.0, 25-Oct-2022 00:00:00.000,437.17099,701.7750244,23.82999992,0
40:00.0, 25-Oct-2022 00:10:00.000,437.177002,701.9000244,23.82999992,0
50:00.0, 25-Oct-2022 00:20:00.000,437.1820068,702.0250244,23.84000015,0
00:00.0, 25-Oct-2022 00:30:00.000,437.1870117,702.1749878,23.84000015,0
10:00.0, 25-Oct-2022 00:40:00.000,437.1919861,702.2999878,23.84000015,0
20:00.0, 25-Oct-2022 00:50:00.000,437.197998,702.4500122,23.84000015,0
30:00.0, 25-Oct-2022 01:00:00.000,437.2049866,702.6199951,23.85000038,0
40:00.0, 25-Oct-2022 01:10:00.000,437.2160034,702.8599854,23.85000038,0
50:00.0, 25-Oct-2022 01:20:00.000,437.2260132,703.1240234,23.86000061,0
00:00.0, 25-Oct-2022 01:30:00.000,437.2319946,703.2680054,23.86000061,0
10:00.0, 25-Oct-2022 01:40:00.000,437.2409973,703.4840088,23.87000084,0
20:00.0, 25-Oct-2022 01:50:00.000,437.2479858,703.6519775,23.87000084,0
30:00.0, 25-Oct-2022 02:00:00.000,437.2510071,703.723999,23.87000084,0
40:00.0, 25-Oct-2022 02:10:00.000,437.2579956,703.8920288,23.87000084,0
50:00.0, 25-Oct-2022 02:20:00.000,437.2650146,704.0599976,23.87999916,0
00:00.0, 25-Oct-2022 02:30:00.000,437.2730103,704.2280273,23.87999916,0
10:00.0, 25-Oct-2022 02:40:00.000,437.2820129,704.4439697,23.88999939,0
20:00.0, 25-Oct-2022 02:50:00.000,437.2890015,704.6359863,23.88999939,0
30:00.0, 25-Oct-2022 03:00:00.000,437.2950134,704.8040161,23.88999939,0
40:00.0, 25-Oct-2022 03:10:00.000,437.2969971,704.8280029,23.88999939,0
50:00.0, 25-Oct-2022 03:20:00.000,437.302002,704.947998,23.89999962,0
00:00.0, 25-Oct-2022 03:30:00.000,437.3070068,705.0679932,23.89999962,0
10:00.0, 25-Oct-2022 03:40:00.000,437.3089905,705.09198,23.89999962,0
20:00.0, 25-Oct-2022 03:50:00.000,437.3179932,705.3079834,23.89999962,0
30:00.0, 25-Oct-2022 04:00:00.000,437.3250122,705.5,23.90999985,0
40:00.0, 25-Oct-2022 04:10:00.000,437.3299866,705.6199951,23.90999985,0
50:00.0, 25-Oct-2022 04:20:00.000,437.3380127,705.7880249,23.90999985,0
00:00.0, 25-Oct-2022 04:30:00.000,437.3410034,705.8839722,23.92000008,0
10:00.0, 25-Oct-2022 04:40:00.000,437.3450012,705.9799805,23.92000008,0
20:00.0, 25-Oct-2022 04:50:00.000,437.348999,706.0759888,23.92000008,0
30:00.0, 25-Oct-2022 05:00:00.000,437.3529968,706.1719971,23.92000008,0
40:00.0, 25-Oct-2022 05:10:00.000,437.3580017,706.2919922,23.92000008,0
50:00.0, 25-Oct-2022 05:20:00.000,437.3630066,706.4119873,23.93000031,0
00:00.0, 25-Oct-2022 05:30:00.000,437.3659973,706.4840088,23.93000031,0
10:00.0, 25-Oct-2022 05:40:00.000,437.3649902,706.460022,23.93000031,0
20:00.0, 25-Oct-2022 05:50:00.000,437.3649902,706.460022,23.93000031,0
30:00.0, 25-Oct-2022 06:00:00.000,437.368988,706.5560303,23.93000031,0
40:00.0, 25-Oct-2022 06:10:00.000,437.3659973,706.5079956,23.93000031,0
50:00.0, 25-Oct-2022 06:20:00.000,437.3699951,706.5560303,23.93000031,0
00:00.0, 25-Oct-2022 06:30:00.000,437.3760071,706.723999,23.93000031,0
10:00.0, 25-Oct-2022 06:40:00.000,437.3779907,706.7479858,23.93000031,0
20:00.0, 25-Oct-2022 06:50:00.000,437.381012,706.8439941,23.94000053,0
30:00.0, 25-Oct-2022 07:00:00.000,437.381012,706.8439941,23.94000053,0
40:00.0, 25-Oct-2022 07:10:00.000,437.3819885,706.867981,23.94000053,0
50:00.0, 25-Oct-2022 07:20:00.000,437.3850098,706.9400024,23.94000053,0
00:00.0, 25-Oct-2022 07:30:00.000,437.3850098,706.9400024,23.94000053,0
10:00.0, 25-Oct-2022 07:40:00.000,437.3869934,706.9639893,23.94000053,0
20:00.0, 25-Oct-2022 07:50:00.000,437.3919983,707.1079712,23.94000053,0
30:00.0, 25-Oct-2022 08:00:00.000,437.394989,707.1560059,23.94000053,0
40:00.0, 25-Oct-2022 08:10:00.000,437.3970032,707.2280273,23.94000053,0
50:00.0, 25-Oct-2022 08:20:00.000,437.3999939,707.276001,23.94000053,0
00:00.0, 25-Oct-2022 08:30:00.000,437.3999939,707.2999878,23.95000076,0
10:00.0, 25-Oct-2022 08:40:00.000,437.3999939,707.2999878,23.95000076,0
20:00.0, 25-Oct-2022 08:50:00.000,437.401001,707.2999878,23.95000076,0
30:00.0, 25-Oct-2022 09:00:00.000,437.4020081,707.3480225,23.95000076,0
40:00.0, 25-Oct-2022 09:10:00.000,437.4030151,707.3720093,23.95000076,0
50:00.0, 25-Oct-2022 09:20:00.000,437.4049988,707.3959961,23.95000076,0
00:00.0, 25-Oct-2022 09:30:00.000,437.4070129,707.4680176,23.95000076,0
10:00.0, 25-Oct-2022 09:40:00.000,437.4079895,707.4920044,23.95000076,0
20:00.0, 25-Oct-2022 09:50:00.000,437.4070129,707.4920044,23.95000076,0
30:00.0, 25-Oct-2022 10:00:00.000,437.4079895,707.4920044,23.95000076,0
40:00.0, 25-Oct-2022 10:10:00.000,437.4070129,707.4680176,23.95000076,0
50:00.0, 25-Oct-2022 10:20:00.000,437.4070129,707.4680176,23.95000076,0
00:00.0, 25-Oct-2022 10:30:00.000,437.4089966,707.5159912,23.95000076,0
10:00.0, 25-Oct-2022 10:40:00.000,437.4089966,707.5159912,23.95000076,0
20:00.0, 25-Oct-2022 10:50:00.000,437.4100037,707.5159912,23.95000076,0
30:00.0, 25-Oct-2022 11:00:00.000,437.4150085,707.6359863,23.95000076,0
40:00.0, 25-Oct-2022 11:10:00.000,437.4119873,707.5880127,23.95000076,0
50:00.0, 25-Oct-2022 11:20:00.000,437.4129944,707.6119995,23.95000076,0
00:00.0, 25-Oct-2022 11:30:00.000,437.4190063,707.7559814,23.95000076,0
10:00.0, 25-Oct-2022 11:40:00.000,437.4200134,707.7800293,23.95999908,0
20:00.0, 25-Oct-2022 11:50:00.000,437.4240112,707.8759766,23.95999908,0
30:00.0, 25-Oct-2022 12:00:00.000,437.4259949,707.9240112,23.95999908,0
40:00.0, 25-Oct-2022 12:10:00.000,437.4289856,707.9959717,23.95999908,0
50:00.0, 25-Oct-2022 12:20:00.000,437.4309998,708.0440063,23.95999908,0
00:00.0, 25-Oct-2022 12:30:00.000,437.4299927,708.0200195,23.95999908,0
10:00.0, 25-Oct-2022 12:40:00.000,437.4330139,708.09198,23.95999908,0
20:00.0, 25-Oct-2022 12:50:00.000,437.4370117,708.1879883,23.95999908,0
30:00.0, 25-Oct-2022 13:00:00.000,437.4429932,708.3079834,23.96999931,0
40:00.0, 25-Oct-2022 13:10:00.000,437.4440002,708.3560181,23.96999931,0
00:00.0, 25-Oct-2022 13:30:00.000,437.4460144,708.4039917,23.96999931,0
10:00.0, 25-Oct-2022 13:40:00.000,437.4450073,708.3800049,23.96999931,0
20:00.0, 25-Oct-2022 13:50:00.000,437.4450073,708.3560181,23.96999931,0
30:00.0, 25-Oct-2022 14:00:00.000,437.446991,708.4279785,23.96999931,0
40:00.0, 25-Oct-2022 14:10:00.000,437.446991,708.4279785,23.96999931,0
50:00.0, 25-Oct-2022 14:20:00.000,437.4500122,708.5,23.96999931,0
00:00.0, 25-Oct-2022 14:30:00.000,437.4530029,708.5720215,23.96999931,0
10:00.0, 25-Oct-2022 14:40:00.000,437.4549866,708.6199951,23.96999931,0
20:00.0, 25-Oct-2022 14:50:00.000,437.4590149,708.7160034,23.96999931,0
30:00.0, 25-Oct-2022 15:00:00.000,437.4620056,708.7880249,23.97999954,0
40:00.0, 25-Oct-2022 15:10:00.000,437.4609985,708.7639771,23.97999954,0
50:00.0, 25-Oct-2022 15:20:00.000,437.4609985,708.7639771,23.97999954,0
00:00.0, 25-Oct-2022 15:30:00.000,437.4620056,708.7880249,23.97999954,0
10:00.0, 25-Oct-2022 15:40:00.000,437.4620056,708.7880249,23.97999954,0
20:00.0, 25-Oct-2022 15:50:00.000,437.4660034,708.8599854,23.97999954,0
30:00.0, 25-Oct-2022 16:00:00.000,437.4679871,708.9320068,23.97999954,0
40:00.0, 25-Oct-2022 16:10:00.000,437.4719849,709.0280151,23.97999954,0
50:00.0, 25-Oct-2022 16:20:00.000,437.4729919,709.052002,23.97999954,0
00:00.0, 25-Oct-2022 16:30:00.000,437.4729919,709.0280151,23.97999954,0
10:00.0, 25-Oct-2022 16:40:00.000,437.4750061,709.0999756,23.97999954,0
20:00.0, 25-Oct-2022 16:50:00.000,437.4729919,709.052002,23.97999954,0
30:00.0, 25-Oct-2022 17:00:00.000,437.4760132,709.1240234,23.97999954,0
40:00.0, 25-Oct-2022 17:10:00.000,437.4769897,709.1480103,23.97999954,0
50:00.0, 25-Oct-2022 17:20:00.000,437.4790039,709.1959839,23.97999954,0
00:00.0, 25-Oct-2022 17:30:00.000,437.4819946,709.2680054,23.98999977,0
10:00.0, 25-Oct-2022 17:40:00.000,437.4819946,709.2680054,23.98999977,0
20:00.0, 25-Oct-2022 17:50:00.000,437.4840088,709.2919922,23.98999977,0
30:00.0, 25-Oct-2022 18:00:00.000,437.4880066,709.3880005,23.98999977,0
40:00.0, 25-Oct-2022 18:10:00.000,437.4869995,709.3880005,23.98999977,0
50:00.0, 25-Oct-2022 18:20:00.000,437.4869995,709.3880005,23.98999977,0
00:00.0, 25-Oct-2022 18:30:00.000,437.4920044,709.5079956,23.98999977,0
10:00.0, 25-Oct-2022 18:40:00.000,437.4899902,709.460022,23.98999977,0
20:00.0, 25-Oct-2022 18:50:00.000,437.493988,709.5319824,23.98999977,0
30:00.0, 25-Oct-2022 19:00:00.000,437.4960022,709.6040039,23.98999977,0
40:00.0, 25-Oct-2022 19:10:00.000,437.4960022,709.5800171,23.98999977,0
50:00.0, 25-Oct-2022 19:20:00.000,437.4989929,709.6760254,23.98999977,0
00:00.0, 25-Oct-2022 19:30:00.000,437.4989929,709.7000122,24,0
10:00.0, 25-Oct-2022 19:40:00.000,437.5,709.7000122,24,0
20:00.0, 25-Oct-2022 19:50:00.000,437.5029907,709.7750244,24,0
30:00.0, 25-Oct-2022 20:00:00.000,437.5029907,709.7750244,24,0
40:00.0, 25-Oct-2022 20:10:00.000,437.5050049,709.7999878,24,0
50:00.0, 25-Oct-2022 20:20:00.000,437.5069885,709.875,24,0
00:00.0, 25-Oct-2022 20:30:00.000,437.5079956,709.9000244,24,0
10:00.0, 25-Oct-2022 20:40:00.000,437.5100098,709.9500122,24,0
20:00.0, 25-Oct-2022 20:50:00.000,437.5119934,710,24,0
30:00.0, 25-Oct-2022 21:00:00.000,437.5130005,710,24,0
40:00.0, 25-Oct-2022 21:10:00.000,437.5140076,710.0499878,24,0
50:00.0, 25-Oct-2022 21:20:00.000,437.5159912,710.0999756,24,0
00:00.0, 25-Oct-2022 21:30:00.000,437.5169983,710.125,24,0
10:00.0, 25-Oct-2022 21:40:00.000,437.519989,710.1749878,24,0
20:00.0, 25-Oct-2022 21:50:00.000,437.519989,710.2000122,24.01000023,0
30:00.0, 25-Oct-2022 22:00:00.000,437.5220032,710.25,24.01000023,0
40:00.0, 25-Oct-2022 22:10:00.000,437.5249939,710.3250122,24.01000023,0
50:00.0, 25-Oct-2022 22:20:00.000,437.5270081,710.3499756,24.01000023,0
00:00.0, 25-Oct-2022 22:30:00.000,437.5280151,710.4000244,24.01000023,0
10:00.0, 25-Oct-2022 22:40:00.000,437.5299988,710.4500122,24.01000023,0
20:00.0, 25-Oct-2022 22:50:00.000,437.5310059,710.4749756,24.01000023,0
30:00.0, 25-Oct-2022 23:00:00.000,437.5329895,710.5250244,24.01000023,0
40:00.0, 25-Oct-2022 23:10:00.000,437.5350037,710.5750122,24.01000023,0
50:00.0, 25-Oct-2022 23:20:00.000,437.5379944,710.6500244,24.01000023,0
00:00.0, 25-Oct-2022 23:30:00.000,437.5409851,710.7000122,24.02000046,0
10:00.0, 25-Oct-2022 23:40:00.000,437.5429993,710.7750244,24.02000046,0
20:00.0, 25-Oct-2022 23:50:00.000,437.54599,710.8250122,24.02000046,0
30:00.0, 26-Oct-2022 00:00:00.000,437.5469971,710.875,24.02000046,0
40:00.0, 26-Oct-2022 00:10:00.000,437.5490112,710.9249878,24.02000046,0
50:00.0, 26-Oct-2022 00:20:00.000,437.5509949,710.9749756,24.02000046,0
00:00.0, 26-Oct-2022 00:30:00.000,437.552002,711,24.02000046,0
10:00.0, 26-Oct-2022 00:40:00.000,437.5559998,711.0750122,24.02000046,0
20:00.0, 26-Oct-2022 00:50:00.000,437.5570068,711.125,24.02000046,0
30:00.0, 26-Oct-2022 01:00:00.000,437.5589905,711.1500244,24.02000046,0
40:00.0, 26-Oct-2022 01:10:00.000,437.5620117,711.25,24.03000069,0
50:00.0, 26-Oct-2022 01:20:00.000,437.5629883,711.2750244,24.03000069,0
00:00.0, 26-Oct-2022 01:30:00.000,437.5650024,711.3250122,24.03000069,0
10:00.0, 26-Oct-2022 01:40:00.000,437.5669861,711.4000244,24.03000069,0
20:00.0, 26-Oct-2022 01:50:00.000,437.5690002,711.4249878,24.03000069,0
30:00.0, 26-Oct-2022 02:00:00.000,437.571991,711.4749756,24.03000069,0
40:00.0, 26-Oct-2022 02:10:00.000,437.572998,711.5250244,24.03000069,0
50:00.0, 26-Oct-2022 02:20:00.000,437.5750122,711.5499878,24.03000069,0
00:00.0, 26-Oct-2022 02:30:00.000,437.5780029,711.6500244,24.03000069,0
10:00.0, 26-Oct-2022 02:40:00.000,437.57901,711.6749878,24.03000069,0
20:00.0, 26-Oct-2022 02:50:00.000,437.5809937,711.7249756,24.04000092,0
30:00.0, 26-Oct-2022 03:00:00.000,437.5830078,711.7999878,24.04000092,0
40:00.0, 26-Oct-2022 03:10:00.000,437.5859985,711.8499756,24.04000092,0
50:00.0, 26-Oct-2022 03:20:00.000,437.5880127,711.9000244,24.04000092,0
00:00.0, 26-Oct-2022 03:30:00.000,437.5899963,711.9500122,24.04000092,0
10:00.0, 26-Oct-2022 03:40:00.000,437.5920105,712,24.04000092,0
20:00.0, 26-Oct-2022 03:50:00.000,437.5939941,712.0499878,24.04000092,0
30:00.0, 26-Oct-2022 04:00:00.000,437.5979919,712.125,24.04000092,0
40:00.0, 26-Oct-2022 04:10:00.000,437.598999,712.1749878,24.04000092,0
50:00.0, 26-Oct-2022 04:20:00.000,437.6010132,712.223999,24.04999924,0
00:00.0, 26-Oct-2022 04:30:00.000,437.6029968,712.2479858,24.04999924,0
10:00.0, 26-Oct-2022 04:40:00.000,437.6040039,712.2960205,24.04999924,0
20:00.0, 26-Oct-2022 04:50:00.000,437.6040039,712.2960205,24.04999924,0
30:00.0, 26-Oct-2022 05:00:00.000,437.6040039,712.2960205,24.04999924,0
40:00.0, 26-Oct-2022 05:10:00.000,437.6059875,712.367981,24.04999924,0
50:00.0, 26-Oct-2022 05:20:00.000,437.6059875,712.3439941,24.04999924,0
00:00.0, 26-Oct-2022 05:30:00.000,437.6059875,712.3439941,24.04999924,0
10:00.0, 26-Oct-2022 05:40:00.000,437.6069946,712.367981,24.04999924,0
20:00.0, 26-Oct-2022 05:50:00.000,437.6080017,712.3920288,24.04999924,0
30:00.0, 26-Oct-2022 06:00:00.000,437.6069946,712.367981,24.04999924,0
40:00.0, 26-Oct-2022 06:10:00.000,437.6069946,712.3439941,24.04999924,0
50:00.0, 26-Oct-2022 06:20:00.000,437.6080017,712.3920288,24.04999924,0
00:00.0, 26-Oct-2022 06:30:00.000,437.6080017,712.3920288,24.04999924,0
10:00.0, 26-Oct-2022 06:40:00.000,437.6080017,712.3920288,24.04999924,0
20:00.0, 26-Oct-2022 06:50:00.000,437.6080017,712.3920288,24.04999924,0
30:00.0, 26-Oct-2022 07:00:00.000,437.6080017,712.3920288,24.04999924,0
40:00.0, 26-Oct-2022 07:10:00.000,437.6080017,712.3920288,24.04999924,0
50:00.0, 26-Oct-2022 07:20:00.000,437.6080017,712.3920288,24.04999924,0
00:00.0, 26-Oct-2022 07:30:00.000,437.6080017,712.3920288,24.04999924,0
10:00.0, 26-Oct-2022 07:40:00.000,437.6029968,712.2719727,24.04999924,0
20:00.0, 26-Oct-2022 07:50:00.000,437.598999,712.1749878,24.04000092,0
30:00.0, 26-Oct-2022 08:00:00.000,437.6010132,712.223999,24.04999924,0
40:00.0, 26-Oct-2022 08:10:00.000,437.5969849,712.125,24.04000092,0
50:00.0, 26-Oct-2022 08:20:00.000,437.5969849,712.125,24.04000092,0
00:00.0, 26-Oct-2022 08:30:00.000,437.598999,712.1749878,24.04000092,0
10:00.0, 26-Oct-2022 08:40:00.000,437.5969849,712.125,24.04000092,0
20:00.0, 26-Oct-2022 08:50:00.000,437.5950012,712.0999756,24.04000092,0
30:00.0, 26-Oct-2022 09:00:00.000,437.5939941,712.0499878,24.04000092,0
40:00.0, 26-Oct-2022 09:10:00.000,437.5910034,712,24.04000092,0
50:00.0, 26-Oct-2022 09:20:00.000,437.5889893,711.9500122,24.04000092,0
00:00.0, 26-Oct-2022 09:30:00.000,437.5870056,711.875,24.04000092,0
10:00.0, 26-Oct-2022 09:40:00.000,437.5859985,711.8499756,24.04000092,0
20:00.0, 26-Oct-2022 09:50:00.000,437.5910034,711.9749756,24.04000092,0
30:00.0, 26-Oct-2022 10:00:00.000,437.5929871,712.0250244,24.04000092,0
40:00.0, 26-Oct-2022 10:10:00.000,437.5929871,712.0250244,24.04000092,0
50:00.0, 26-Oct-2022 10:20:00.000,437.5960083,712.0999756,24.04000092,0
00:00.0, 26-Oct-2022 10:30:00.000,437.5950012,712.0750122,24.04000092,0
10:00.0, 26-Oct-2022 10:40:00.000,437.5899963,711.9749756,24.04000092,0
20:00.0, 26-Oct-2022 10:50:00.000,437.5899963,711.9500122,24.04000092,0
30:00.0, 26-Oct-2022 11:00:00.000,437.5899963,711.9500122,24.04000092,0
40:00.0, 26-Oct-2022 11:10:00.000,437.5899963,711.9500122,24.04000092,0
50:00.0, 26-Oct-2022 11:20:00.000,437.5920105,712,24.04000092,0
00:00.0, 26-Oct-2022 11:30:00.000,437.5929871,712.0250244,24.04000092,0
10:00.0, 26-Oct-2022 11:40:00.000,437.5939941,712.0499878,24.04000092,0
20:00.0, 26-Oct-2022 11:50:00.000,437.5939941,712.0750122,24.04000092,0
30:00.0, 26-Oct-2022 12:00:00.000,437.5929871,712.0250244,24.04000092,0
40:00.0, 26-Oct-2022 12:10:00.000,437.5929871,712.0250244,24.04000092,0
50:00.0, 26-Oct-2022 12:20:00.000,437.5910034,711.9749756,24.04000092,0
00:00.0, 26-Oct-2022 12:30:00.000,437.5910034,711.9500122,24.04000092,0
10:00.0, 26-Oct-2022 12:40:00.000,437.5920105,712,24.04000092,0
20:00.0, 26-Oct-2022 12:50:00.000,437.5929871,712.0250244,24.04000092,0
30:00.0, 26-Oct-2022 13:00:00.000,437.5939941,712.0499878,24.04000092,0
40:00.0, 26-Oct-2022 13:10:00.000,437.5939941,712.0499878,24.04000092,0
50:00.0, 26-Oct-2022 13:20:00.000,437.5939941,712.0499878,24.04000092,0
00:00.0, 26-Oct-2022 13:30:00.000,437.5939941,712.0499878,24.04000092,0
10:00.0, 26-Oct-2022 13:40:00.000,437.5929871,712.0250244,24.04000092,0
20:00.0, 26-Oct-2022 13:50:00.000,437.5920105,712,24.04000092,0
30:00.0, 26-Oct-2022 14:00:00.000,437.5920105,712,24.04000092,0
40:00.0, 26-Oct-2022 14:10:00.000,437.5929871,712,24.04000092,0
50:00.0, 26-Oct-2022 14:20:00.000,437.5929871,712.0250244,24.04000092,0
00:00.0, 26-Oct-2022 14:30:00.000,437.5939941,712.0250244,24.04000092,0
10:00.0, 26-Oct-2022 14:40:00.000,437.5960083,712.0999756,24.04000092,0
20:00.0, 26-Oct-2022 14:50:00.000,437.598999,712.1749878,24.04000092,0
30:00.0, 26-Oct-2022 15:00:00.000,437.598999,712.1749878,24.04000092,0
40:00.0, 26-Oct-2022 15:10:00.000,437.598999,712.1749878,24.04000092,0
50:00.0, 26-Oct-2022 15:20:00.000,437.6010132,712.223999,24.04999924,0
00:00.0, 26-Oct-2022 15:30:00.000,437.6000061,712.2000122,24.04999924,0
10:00.0, 26-Oct-2022 15:40:00.000,437.6000061,712.2000122,24.04999924,0
20:00.0, 26-Oct-2022 15:50:00.000,437.6010132,712.223999,24.04999924,0
30:00.0, 26-Oct-2022 16:00:00.000,437.6019897,712.2479858,24.04999924,0
40:00.0, 26-Oct-2022 16:10:00.000,437.6029968,712.2719727,24.04999924,0
50:00.0, 26-Oct-2022 16:20:00.000,437.6029968,712.2719727,24.04999924,0
00:00.0, 26-Oct-2022 16:30:00.000,437.6040039,712.2960205,24.04999924,0
10:00.0, 26-Oct-2022 16:40:00.000,437.6059875,712.3439941,24.04999924,0
20:00.0, 26-Oct-2022 16:50:00.000,437.6059875,712.3439941,24.04999924,0
30:00.0, 26-Oct-2022 17:00:00.000,437.605011,712.3200073,24.04999924,0
40:00.0, 26-Oct-2022 17:10:00.000,437.6059875,712.3439941,24.04999924,0
50:00.0, 26-Oct-2022 17:20:00.000,437.6069946,712.367981,24.04999924,0
00:00.0, 26-Oct-2022 17:30:00.000,437.6069946,712.367981,24.04999924,0
10:00.0, 26-Oct-2022 17:40:00.000,437.6080017,712.3920288,24.04999924,0
20:00.0, 26-Oct-2022 17:50:00.000,437.6099854,712.4400024,24.04999924,0
30:00.0, 26-Oct-2022 18:00:00.000,437.6099854,712.4160156,24.04999924,0
40:00.0, 26-Oct-2022 18:10:00.000,437.6109924,712.4639893,24.04999924,0
50:00.0, 26-Oct-2022 18:20:00.000,437.6109924,712.4639893,24.04999924,0
00:00.0, 26-Oct-2022 18:30:00.000,437.6119995,712.4879761,24.04999924,0
10:00.0, 26-Oct-2022 18:40:00.000,437.6140137,712.5120239,24.04999924,0
20:00.0, 26-Oct-2022 18:50:00.000,437.6130066,712.5120239,24.04999924,0
30:00.0, 26-Oct-2022 19:00:00.000,437.6140137,712.5360107,24.04999924,0
40:00.0, 26-Oct-2022 19:10:00.000,437.6140137,712.5360107,24.04999924,0
50:00.0, 26-Oct-2022 19:20:00.000,437.6149902,712.5599976,24.04999924,0
00:00.0, 26-Oct-2022 19:30:00.000,437.6159973,712.6079712,24.04999924,0
10:00.0, 26-Oct-2022 19:40:00.000,437.6159973,712.5839844,24.04999924,0
20:00.0, 26-Oct-2022 19:50:00.000,437.6159973,712.5839844,24.04999924,0
30:00.0, 26-Oct-2022 20:00:00.000,437.6170044,712.6079712,24.04999924,0
40:00.0, 26-Oct-2022 20:10:00.000,437.6170044,712.6079712,24.04999924,0
50:00.0, 26-Oct-2022 20:20:00.000,437.618988,712.632019,24.04999924,0
00:00.0, 26-Oct-2022 20:30:00.000,437.6180115,712.632019,24.04999924,0
10:00.0, 26-Oct-2022 20:40:00.000,437.618988,712.632019,24.04999924,0
